pdb	chain	dgexp	dgpre	bsa	HB	AT	RE	HY	AS	SB	DS	PA	PosA	NegA
1A2K	C:AB	-9.3	-9	1603	15	3	11	43	0	9	0	123	25	4
1ACB	E:I	-13.1	-11.9	1544	16	3	1	39	0	0	0	159	33	0
1AK4	A:D	-6.4	-7.3	1029	8	0	0	29	0	0	0	70	19	0
1AKJ	AB:DE	-5.3	-7.3	1995	29	7	0	18	0	9	0	163	12	16
1ATN	A:D	-12.1	-10.9	1774	19	10	9	26	0	8	0	177	28	11
1AVZ	B:C	-6.5	-8.4	1259	12	4	5	34	0	6	0	135	47	11
1B6C	A:B	-8.9	-9.4	1752	12	0	0	57	0	0	0	154	44	16
1BJ1	HL:VW	-11.6	-12.2	1731	24	2	0	26	1	0	0	299	45	6
1BUH	A:B	-9.7	-8.4	1324	11	12	6	33	0	3	0	121	39	30
1BVK	DE:F	-10.5	-11.3	1321	19	1	0	18	0	0	0	131	5	22
1BVN	P:T	-15.1	-13.3	2222	23	18	6	56	1	5	0	237	27	16
1CBW	ABC:D	-10.7	-11.3	1457	18	0	0	21	0	0	0	151	40	0
1DE4	AB:CF	-9.8	-8.9	2066	20	9	2	40	0	7	0	197	86	10
1DQJ	AB:C	-11.7	-12.7	1765	29	1	2	27	0	1	0	215	62	13
1E4K	AB:C	-7.9	-9.4	1634	18	2	0	22	0	1	0	126	22	12
1E6E	A:B	-8.3	-8.6	2315	28	50	6	16	0	19	0	171	59	46
1E6J	HL:P	-10.3	-9.1	1245	13	1	0	22	0	0	0	142	0	23
1E96	A:B	-7.4	-8	1179	18	4	1	22	1	0	0	96	37	9
1EER	A:BC	-15.6	-13.6	3347	42	53	16	60	0	19	0	287	87	39
1EFN	B:A	-10.1	-8	1253	13	7	2	38	0	5	0	173	51	12
1EMV	A:B	-18.6	-11	1535	24	4	0	46	1	7	0	173	5	26
1EWY	A:C	-7.4	-8.3	1502	10	20	4	13	0	3	0	84	28	22
1EZU	C:AB	-13.8	-13.1	2751	29	8	4	44	0	0	0	261	62	13
1FC2	C:D	-10.4	-8.5	1307	9	3	3	38	0	0	0	149	14	2
1FFW	A:B	-8.1	-5.7	1170	12	3	1	23	0	4	0	114	11	20
1FSK	BC:A	-13.1	-11.7	1623	25	12	0	21	1	10	0	211	53	39
1GCQ	B:C	-6.5	-9	1208	13	0	0	37	0	0	0	101	15	2
1GLA	G:F	-6.8	-8.1	1304	8	11	0	47	0	10	0	103	25	18
